Row ID,Bulan,Tahun,Total Day,LOCATION,Region,Position,Pemakaian,Baseline per day,Baseline,,Row ID,Bulan,TAHUN,Total Day,Area,Region,Position,REAL,Baseline per day,BATAS,,month,Realisasi,BASELINE,EFISIENSI kWh 2023,Persentase,,LOKASI,Total Pemakaian 2024,Total Pemakaian 2023,Total Baseline per lokasi 2023,,MONTH,REALISASI,BASELINE PERBULAN 2024,EFISIENSI kWh 2024,persentase,,BULAN,TEMPAT,DASAR,PENGGUNAAN,PENGHEMATAN,RANK
73,JANUARY,2023,31,ER BLA,REGION 2,STATION ELEVATED,31436,1390,43090,,73,MAY,2024,31,ER ASN ,REGION 2,UNDERGROND,62785,-,68904,,,,,,,,,,,,,,,,,,,May,Asean,"73,287","62,785",14.30%,10
74,FEBRUARY,2023,28,ER BLA,REGION 2,STATION ELEVATED,28361,1390,38920,,74,MAY,2024,31,ER SNY,REGION 3,UNDERGROND,254559,-,261240,,,,,,,,,,,,,,,,,,,May,Senayan,"305,474","254,559",16.70%,9
75,MARCH,2023,31,ER BLA,REGION 2,STATION ELEVATED,33158,1390,43090,,75,MAY,2024,31,ER IST,REGION 3,UNDERGROND,284036,-,296939,,,,,,,,,,,,,,,,,,,May,Istora,"406,783","284,036",30.20%,1
76,APRIL,2023,30,ER BLA,REGION 2,STATION ELEVATED,31933,1390,41700,,76,MAY,2024,31,ER BNH,REGION 3,UNDERGROND,313010,-,321360,,,,,,,,,,,,,,,,,,,May,Bendungan Hilir,"387,673","313,010",19.30%,6
77,MAY,2023,31,ER BLA,REGION 2,STATION ELEVATED,33040,1390,43090,,77,MAY,2024,31,ER STB,REGION 3,UNDERGROND,285906,-,319496,,,,,,,,,,,,,,,,,,,May,Setiabudi,"371,587","285,906",23.10%,3
78,JUNE,2023,30,ER BLA,REGION 2,STATION ELEVATED,32139,1390,41700,,78,MAY,2024,31,ER DKA,REGION 3,UNDERGROND,559169,-,488957,,,,,,,,,,,,,,,,,,,May,Dukuh Atas,"622,573","559,169",10.20%,11
79,JULY,2023,31,ER BLA,REGION 2,STATION ELEVATED,34811,1390,43090,,79,MAY,2024,31,ER BHI,REGION 3,UNDERGROND,461904,-,508532,,,,,,,,,,,,,,,,,,,May,Bundaram HI,"572,184","461,904",19.30%,5
80,AUGUST,2023,31,ER BLA,REGION 2,STATION ELEVATED,33151,1390,43090,,80,MAY,2024,31,ER RSS,REGION 3,TAMAN SAMBAS,18630,-,18646,,,,,,,,,,,,,,,,,,,May,RSS,"18,693","18,630",0.30%,14
81,SEPTEMBER,2023,30,ER BLA,REGION 2,STATION ELEVATED,33961,1390,41700,,81,JUNE,2024,30,ER WKS,REGION 1,DEPO,129000,-,157125,,,,,,,,,,,,,,,,,,,June,Workshop,"157,523","129,000",18.10%,5
82,OCTOBER,2023,31,ER BLA,REGION 2,STATION ELEVATED,61246,1390,43090,,82,JUNE,2024,30,ER ADM,REGION 1,DEPO,151580,-,170551,,,,,,,,,,,,,,,,,,,June,Administrasi,"170,983","151,580",11.30%,7
83,NOVEMBER,2023,30,ER BLA,REGION 2,STATION ELEVATED,58490,1390,41700,,83,JUNE,2024,30,ER LBB,REGION 1,ELEVATED,53475,-,67094,,,,,,,,,,,,,,,,,,,June,Lebak Bulus,"67,264","53,475",20.50%,4
84,DECEMBER,2023,31,ER BLA,REGION 2,STATION ELEVATED,65049,1390,43090,,84,JUNE,2024,30,ER FTM,REGION 1,ELEVATED,73430,-,67611,,,,,,,,,,,,,,,,,,,June,Fatmawati ,"66,158","73,430",-11.00%,16
85,JANUARY,2023,31,ER BLM,REGION 2,STATION ELEVATED,52600,1967,60977,,85,JUNE,2024,30,ER CPR,REGION 1,ELEVATED,45287,-,74309,,,,,,,,,,,,,,,,,,,June,Cipete Raya,"74,497","45,287",39.20%,1
